voted_for,race,region,employ
Trump,White,Northeast,Permanently disabled
Biden,White,Midwest,Retired
Biden,White,Northeast,Permanently disabled
Trump,White,Midwest,Full-time
Trump,White,Midwest,Retired
Trump,White,Midwest,Full-time
Biden,White,Northeast,Unemployed
Biden,White,South,Part-time
Biden,White,South,Full-time
Biden,White,Midwest,Full-time
Biden,White,West,Full-time
Trump,White,Midwest,Full-time
Trump,White,South,Part-time
Trump,White,South,Full-time
Biden,Black,Midwest,Retired
Biden,Black,South,Full-time
Biden,White,Northeast,Full-time
Biden,White,West,Part-time
Trump,Black,South,Unemployed
Biden,White,West,Retired
Biden,White,Midwest,Retired
Biden,White,West,Retired
Biden,White,Northeast,Homemaker
Trump,White,West,Part-time
Trump,White,Midwest,Retired
Biden,White,Midwest,Part-time
Biden,White,South,Unemployed
Trump,White,Northeast,Retired
Trump,White,West,Retired
Biden,White,Midwest,Full-time
Trump,White,Northeast,Full-time
Biden,Black,South,Homemaker
Trump,White,Northeast,Full-time
Biden,White,Midwest,Retired
Trump,White,South,Full-time
Trump,White,South,Retired
Biden,White,West,Retired
Biden,White,South,Full-time
Biden,White,West,Retired
Biden,White,South,Full-time
Trump,White,South,Retired
Trump,White,South,Retired
Biden,White,Midwest,Homemaker
Trump,White,South,Part-time
Biden,White,South,Full-time
Trump,White,West,Full-time
Biden,White,South,Full-time
Trump,Hispanic,West,Temporarily laid off
Biden,White,South,Unemployed
Biden,White,South,Retired
Biden,Hispanic,Midwest,Temporarily laid off
Trump,White,South,Other
Biden,White,West,Retired
Trump,Middle Eastern,South,Full-time
Biden,White,West,Full-time
Trump,White,South,Full-time
Biden,White,West,Full-time
Trump,White,Midwest,Part-time
Trump,White,Northeast,Full-time
Trump,White,South,Full-time
Biden,White,Midwest,Retired
Trump,White,South,Permanently disabled
Trump,White,Midwest,Full-time
Biden,Hispanic,South,Full-time
Trump,White,Midwest,Retired
Biden,White,Midwest,Retired
Biden,White,South,Retired
Biden,White,South,Part-time
Trump,White,Midwest,Retired
Trump,White,South,Temporarily laid off
Trump,White,West,Full-time
Biden,Hispanic,South,Part-time
Trump,White,South,Permanently disabled
Biden,Two or more races,West,Full-time
Biden,Hispanic,Northeast,Retired
Biden,White,South,Full-time
Trump,White,West,Homemaker
Trump,White,West,Unemployed
Biden,White,West,Retired
Trump,White,South,Permanently disabled
Biden,Black,South,Retired
Trump,White,Midwest,Retired
Trump,White,Northeast,Retired
Biden,Hispanic,West,Unemployed
Biden,White,Northeast,Retired
Trump,White,West,Full-time
Biden,Black,South,Retired
Biden,Asian,Midwest,Full-time
Trump,White,South,Part-time
Trump,White,Northeast,Full-time
Trump,White,Midwest,Full-time
Biden,White,Midwest,Full-time
Biden,White,Midwest,Permanently disabled
Biden,White,West,Permanently disabled
Trump,White,South,Full-time
Biden,White,West,Full-time
Trump,White,South,Full-time
Biden,White,Northeast,Full-time
Trump,White,West,Full-time
Biden,White,West,Retired
Biden,White,Northeast,Full-time
Trump,White,South,Other
Biden,White,West,Retired
Biden,White,West,Full-time
Biden,White,West,Retired
Biden,White,West,Retired
Trump,White,South,Retired
Biden,White,West,Retired
Trump,White,Northeast,Part-time
Biden,Hispanic,Northeast,Full-time
Trump,White,South,Part-time
Biden,White,Midwest,Full-time
Trump,White,West,Homemaker
Biden,White,South,Permanently disabled
Trump,White,West,Retired
Trump,White,Northeast,Full-time
Biden,White,Midwest,Retired
Biden,White,South,Full-time
Trump,White,South,Part-time
Trump,White,South,Retired
Biden,White,Northeast,Temporarily laid off
Biden,Two or more races,Northeast,Unemployed
Biden,White,Northeast,Retired
Trump,White,South,Retired
Trump,White,Northeast,Full-time
Biden,White,Midwest,Retired
Biden,White,Midwest,Permanently disabled
Biden,White,Midwest,Part-time
Trump,White,West,Retired
Biden,White,South,Retired
Biden,White,Midwest,Retired
Trump,White,Midwest,Full-time
Biden,Asian,Northeast,Student
Biden,White,Midwest,Full-time
Trump,White,West,Retired
Trump,White,Midwest,Full-time
Biden,White,South,Retired
Trump,White,South,Part-time
Biden,White,West,Retired
Biden,Two or more races,Midwest,Retired
Biden,Hispanic,South,Retired
Trump,White,Midwest,Part-time
Trump,White,South,Full-time
Biden,White,Midwest,Full-time
Biden,Black,South,Full-time
Trump,White,Midwest,Retired
Biden,White,Northeast,Retired
Biden,White,South,Retired
Biden,White,Midwest,Full-time
Trump,White,South,Retired
Biden,White,South,Retired
Biden,White,West,Part-time
Biden,White,Northeast,Retired
Biden,White,Midwest,Retired
Biden,White,West,Other
Biden,White,West,Retired
Biden,White,Midwest,Retired
Trump,White,South,Retired
Biden,White,South,Retired
Biden,White,Midwest,Retired
Trump,White,South,Retired
Biden,White,West,Retired
Biden,White,South,Retired
Biden,White,South,Retired
Biden,White,South,Retired
Biden,Asian,West,Full-time
Trump,Two or more races,Midwest,Retired
Trump,White,Northeast,Part-time
Trump,White,South,Retired
Biden,White,South,Permanently disabled
Biden,White,South,Retired
Biden,White,Northeast,Retired
Biden,White,West,Retired
Trump,White,Northeast,Retired
Biden,Hispanic,West,Permanently disabled
Biden,White,West,Permanently disabled
Biden,White,Midwest,Retired
Biden,White,South,Retired
Trump,White,South,Retired
Biden,White,West,Retired
Trump,White,West,Retired
Biden,White,Midwest,Retired
Biden,White,West,Retired
Trump,White,South,Full-time
Biden,White,West,Part-time
Biden,White,Midwest,Retired
Biden,White,South,Part-time
Biden,White,West,Full-time
Trump,White,Midwest,Temporarily laid off
Biden,White,Northeast,Full-time
Trump,White,Midwest,Homemaker
Trump,White,South,Retired
Trump,White,Northeast,Full-time
Biden,White,West,Retired
Trump,White,South,Homemaker
Trump,White,South,Homemaker
Biden,White,Midwest,Temporarily laid off
Trump,White,South,Full-time
Biden,White,West,Unemployed
Trump,White,South,Retired
Trump,White,West,Retired
Biden,White,South,Full-time
Trump,White,West,Unemployed
Biden,White,Northeast,Retired
Biden,White,South,Retired
Biden,White,South,Full-time
Trump,White,Midwest,Retired
Trump,White,Northeast,Retired
Biden,White,Northeast,Full-time
Trump,White,Midwest,Retired
Biden,White,South,Retired
Biden,White,Midwest,Permanently disabled
Trump,White,West,Homemaker
Trump,White,West,Retired
Trump,White,Midwest,Full-time
Biden,White,Northeast,Retired
Biden,Middle Eastern,South,Retired
Trump,White,South,Retired
Biden,White,South,Retired
Biden,White,West,Part-time
Trump,White,South,Retired
Biden,White,Northeast,Retired
Biden,White,Midwest,Retired
Biden,White,West,Full-time
Trump,White,South,Retired
Trump,White,Northeast,Full-time
Biden,White,South,Part-time
Biden,White,West,Retired
Trump,White,Midwest,Retired
Trump,White,West,Retired
Trump,Middle Eastern,West,Part-time
Trump,White,Northeast,Retired
Biden,Hispanic,South,Homemaker
Biden,White,Northeast,Retired
Trump,White,South,Full-time
Trump,White,Midwest,Retired
Trump,White,West,Other
Trump,White,South,Retired
Biden,Asian,South,Full-time
Trump,White,Midwest,Retired
Biden,White,South,Part-time
Biden,White,West,Unemployed
Trump,White,Midwest,Full-time
Trump,White,South,Full-time
Trump,White,West,Retired
Trump,White,Northeast,Retired
Biden,White,West,Full-time
Trump,White,West,Retired
Trump,White,West,Retired
Biden,White,West,Full-time
Biden,White,South,Retired
Biden,White,Northeast,Full-time
Trump,White,Midwest,Permanently disabled
Biden,White,South,Full-time
Biden,White,South,Part-time
Biden,White,Midwest,Full-time
Biden,White,West,Retired
Trump,White,Midwest,Temporarily laid off
Biden,White,Midwest,Full-time
Biden,White,South,Retired
Biden,Other,South,Retired
Biden,White,Midwest,Retired
Trump,White,South,Permanently disabled
Biden,White,Midwest,Retired
Biden,White,Northeast,Full-time
Trump,White,South,Full-time
Trump,Black,South,Part-time
Biden,White,West,Other
Biden,White,West,Full-time
Biden,White,Midwest,Full-time
Biden,White,South,Full-time
Trump,White,West,Permanently disabled
Biden,White,West,Full-time
Biden,White,South,Full-time
Biden,Native American,West,Retired
Trump,Two or more races,West,Unemployed
Biden,White,West,Full-time
Biden,White,Midwest,Retired
Biden,White,Midwest,Full-time
Trump,White,Northeast,Retired
Biden,White,Northeast,Full-time
Trump,White,South,Permanently disabled
Trump,White,Northeast,Retired
Trump,White,South,Retired
Biden,White,West,Retired
Biden,White,West,Retired
Trump,White,South,Retired
Trump,White,South,Retired
Trump,White,West,Full-time
Trump,White,South,Full-time
Trump,White,West,Permanently disabled
Biden,White,Midwest,Full-time
Biden,Two or more races,Northeast,Homemaker
Biden,White,South,Retired
Biden,Black,Midwest,Unemployed
Biden,Two or more races,Midwest,Full-time
Biden,White,Midwest,Full-time
Trump,White,South,Full-time
Biden,White,Northeast,Homemaker
Trump,White,Midwest,Full-time
Biden,White,West,Part-time
Biden,White,South,Unemployed
Biden,White,West,Full-time
Biden,White,Northeast,Full-time
Trump,White,Northeast,Full-time
Biden,White,South,Part-time
Biden,White,Midwest,Full-time
Trump,White,West,Unemployed
Biden,White,Midwest,Permanently disabled
Trump,White,West,Full-time
Trump,Middle Eastern,West,Retired
Trump,White,Midwest,Other
Biden,White,West,Unemployed
Biden,White,West,Temporarily laid off
Biden,White,Midwest,Full-time
Trump,White,Midwest,Retired
Trump,White,South,Full-time
Trump,White,South,Retired
Biden,White,Northeast,Full-time
Trump,White,Northeast,Retired
Biden,White,South,Retired
Biden,White,South,Full-time
Biden,White,Midwest,Full-time
Trump,White,West,Retired
Trump,White,Northeast,Part-time
Trump,White,South,Retired
Biden,White,West,Full-time
Biden,White,Midwest,Retired
Trump,White,West,Retired
Biden,White,South,Retired
Biden,White,South,Retired
Biden,White,South,Unemployed
Biden,White,Northeast,Retired
Biden,White,West,Retired
Biden,Middle Eastern,South,Permanently disabled
Biden,White,West,Retired
Biden,White,West,Permanently disabled
Biden,Other,South,Full-time
Trump,White,South,Permanently disabled
Trump,White,South,Retired
Trump,White,West,Full-time
Biden,White,West,Part-time
Trump,Two or more races,Northeast,Full-time
Biden,White,Midwest,Retired
Trump,White,West,Full-time
Biden,White,South,Full-time
Trump,White,West,Retired
Trump,White,Midwest,Part-time
Trump,White,Midwest,Homemaker
Biden,White,West,Full-time
Trump,White,Midwest,Full-time
Biden,White,West,Retired
Biden,White,Northeast,Full-time
Biden,White,South,Full-time
Biden,White,Midwest,Retired
Biden,White,West,Full-time
Trump,White,South,Full-time
Biden,White,South,Full-time
Biden,White,Midwest,Homemaker
Trump,White,South,Retired
Biden,White,Midwest,Full-time
Trump,White,South,Retired
Trump,White,South,Other
Biden,Middle Eastern,South,Retired
Trump,White,Midwest,Retired
Biden,White,South,Permanently disabled
Biden,White,West,Full-time
Trump,White,South,Retired
Trump,White,South,Full-time
Biden,White,South,Other
Biden,White,Midwest,Part-time
Biden,White,Midwest,Full-time
Biden,Black,Northeast,Part-time
Biden,Middle Eastern,West,Part-time
Biden,White,West,Homemaker
Trump,White,Midwest,Full-time
Biden,White,South,Retired
Biden,White,South,Full-time
Biden,White,Midwest,Other
Biden,White,South,Full-time
Trump,White,West,Homemaker
Biden,White,West,Retired
Trump,White,South,Retired
Trump,White,Northeast,Retired
Trump,White,West,Retired
Biden,White,West,Retired
Biden,White,Midwest,Retired
Biden,Black,West,Permanently disabled
Biden,White,West,Full-time
Trump,White,South,Part-time
Biden,White,West,Full-time
Trump,Hispanic,Midwest,Temporarily laid off
Trump,White,South,Part-time
Trump,White,West,Retired
Biden,White,South,Unemployed
Trump,White,South,Full-time
Biden,Asian,West,Retired
Biden,Middle Eastern,South,Retired
Biden,Black,West,Retired
Trump,White,Midwest,Full-time
Biden,White,Midwest,Permanently disabled
Biden,White,South,Temporarily laid off
Trump,White,Midwest,Unemployed
Biden,Two or more races,South,Permanently disabled
Trump,White,West,Full-time
Trump,Two or more races,South,Full-time
Biden,White,Midwest,Full-time
Biden,White,Midwest,Part-time
Trump,White,South,Full-time
Biden,Asian,Midwest,Full-time
Trump,White,Midwest,Full-time
Trump,Middle Eastern,West,Part-time
Biden,White,West,Full-time
Biden,White,West,Retired
Trump,White,South,Part-time
Trump,White,Midwest,Retired
Trump,Middle Eastern,West,Retired
Biden,White,West,Full-time
Biden,White,Midwest,Retired
Biden,White,Northeast,Full-time
Trump,White,Midwest,Full-time
Biden,White,Midwest,Unemployed
Trump,White,South,Full-time
Trump,White,West,Retired
Biden,White,South,Retired
Biden,White,South,Homemaker
Biden,White,South,Permanently disabled
Biden,White,Midwest,Retired
Biden,White,South,Full-time
Biden,White,Northeast,Full-time
Biden,White,Northeast,Permanently disabled
Biden,White,Northeast,Part-time
Biden,White,West,Homemaker
Biden,Two or more races,South,Retired
Biden,Asian,West,Full-time
Trump,White,Midwest,Full-time
Biden,White,South,Full-time
Trump,White,South,Full-time
Trump,White,West,Retired
Biden,White,South,Full-time
Biden,White,South,Unemployed
Biden,White,Midwest,Full-time
Biden,White,Midwest,Part-time
Biden,White,South,Part-time
Biden,White,Midwest,Full-time
Biden,White,South,Full-time
Biden,White,Midwest,Retired
Biden,White,Midwest,Homemaker
Biden,Two or more races,Northeast,Temporarily laid off
Biden,Asian,Northeast,Full-time
Trump,White,South,Retired
Biden,White,West,Retired
Biden,White,West,Retired
Trump,White,West,Retired
Trump,White,Northeast,Full-time
Biden,White,West,Retired
Biden,White,South,Retired
Biden,White,Midwest,Full-time
Biden,White,South,Homemaker
Trump,White,South,Full-time
Biden,White,Midwest,Full-time
Biden,White,South,Temporarily laid off
Trump,White,South,Full-time
Biden,White,South,Full-time
Trump,White,Midwest,Retired
Biden,White,South,Retired
Trump,White,West,Full-time
Biden,White,West,Full-time
Trump,White,South,Full-time
Trump,White,West,Retired
Biden,White,Northeast,Full-time
Trump,White,Midwest,Full-time
Biden,White,South,Full-time
Trump,White,South,Full-time
Trump,White,South,Full-time
Trump,Two or more races,South,Retired
Biden,Black,South,Retired
Biden,White,Midwest,Full-time
Trump,Native American,South,Retired
Biden,White,South,Permanently disabled
Biden,White,South,Unemployed
Biden,White,South,Retired
Biden,White,South,Retired
Trump,White,South,Full-time
Trump,Asian,Midwest,Part-time
Trump,White,South,Retired
Biden,White,South,Part-time
Trump,White,Northeast,Permanently disabled
Biden,White,South,Part-time
Biden,White,Midwest,Full-time
Biden,Middle Eastern,Midwest,Full-time
Trump,White,South,Retired
Biden,White,South,Retired
Biden,White,Midwest,Retired
Trump,White,Midwest,Retired
Trump,White,West,Retired
Biden,White,Midwest,Part-time
Trump,White,South,Full-time
Trump,White,South,Retired
Biden,White,West,Part-time
Trump,White,West,Retired
Trump,White,South,Part-time
Biden,White,Midwest,Full-time
Biden,White,West,Full-time
Biden,White,Northeast,Part-time
Biden,White,Midwest,Homemaker
Trump,White,Northeast,Unemployed
Biden,White,South,Other
Biden,White,South,Full-time
Trump,White,West,Student
Biden,White,Northeast,Full-time
Biden,White,West,Retired
Biden,White,West,Full-time
Biden,White,Midwest,Permanently disabled
Trump,White,West,Full-time
Biden,White,Midwest,Homemaker
Trump,White,West,Full-time
Trump,White,West,Full-time
Biden,White,Northeast,Other
Biden,White,South,Full-time
Biden,White,Midwest,Retired
Biden,Black,South,Temporarily laid off
Biden,White,Midwest,Permanently disabled
Trump,White,West,Retired
Trump,White,West,Part-time
Biden,White,South,Full-time
Trump,White,South,Other
Biden,Asian,West,Unemployed
Biden,White,West,Retired
Trump,White,West,Full-time
Biden,White,West,Retired
Biden,White,South,Full-time
Biden,White,South,Retired
Trump,White,South,Retired
Biden,White,Midwest,Full-time
Biden,Middle Eastern,Midwest,Part-time
Biden,White,West,Full-time
Biden,White,Northeast,Part-time
Trump,White,South,Full-time
Trump,White,South,Other
Biden,White,West,Part-time
Trump,White,South,Retired
Biden,White,South,Retired
Biden,White,West,Other
Biden,Hispanic,West,Full-time
Biden,White,Northeast,Unemployed
Biden,Black,South,Part-time
Biden,White,West,Full-time
Biden,White,Northeast,Retired
Biden,White,South,Retired
Trump,White,South,Full-time
Biden,White,West,Full-time
Biden,Black,South,Retired
Trump,White,South,Retired
Biden,White,West,Unemployed
Biden,White,South,Permanently disabled
Biden,White,South,Part-time
Trump,White,South,Full-time
Trump,White,South,Full-time
Biden,White,West,Retired
Trump,White,South,Retired
Biden,Black,West,Retired
Biden,Black,Midwest,Permanently disabled
Biden,White,Northeast,Retired
Biden,White,South,Full-time
Biden,White,Northeast,Retired
Biden,White,Midwest,Part-time
Trump,White,Midwest,Retired
Biden,White,Northeast,Retired
Trump,White,West,Retired
Trump,White,South,Retired
Trump,White,West,Part-time
Trump,White,Midwest,Part-time
Trump,White,Northeast,Unemployed
Biden,White,South,Full-time
Biden,White,Midwest,Unemployed
Biden,White,South,Full-time
Trump,White,West,Part-time
Biden,Asian,West,Retired
Trump,White,South,Full-time
Biden,White,West,Retired
Biden,White,Midwest,Permanently disabled
Biden,Black,South,Full-time
Trump,White,West,Retired
Trump,White,South,Retired
Biden,White,West,Full-time
Trump,White,South,Other
Trump,White,South,Retired
Biden,White,Midwest,Retired
Biden,Asian,Northeast,Part-time
Trump,White,West,Retired
Trump,White,Midwest,Retired
Biden,White,Northeast,Temporarily laid off
Biden,White,West,Permanently disabled
Biden,White,West,Full-time
Trump,White,Northeast,Full-time
Biden,White,South,Retired
Biden,White,South,Retired
Biden,White,Midwest,Full-time
